Frame,Subframe,Slot,StartSymbol,Bitmap,Timestamp(ms)
54,0,0,0,0000000000000000000000000000011111111111100000000000011111111111100000000000000000000000000000000000000000,1721645448139.651123
54,0,0,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.727051
54,0,0,2,0000000000000000000000000000000000000000000000011111111111100000000000000000000000000000000000000000000000,1721645448140.727051
54,0,0,3,0000000000000000000000000000000000000000000111111111111111111110000000000000000000000000000000000000000000,1721645448140.727051
54,0,0,4,0000000000000000000000000000000000000000000111111111111111111110000000000000000000000000000000000000000000,1721645448140.727051
54,0,0,5,0000000000000000000000000000000000000000000111111111111111111110000000000000000000000000000000000000000000,1721645448140.732910
54,0,0,6,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.732910
54,0,0,7,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.732910
54,0,0,8,0000000000000000000000000000011111111111111111111111111111111111111111111111100000000000000000000000000000,1721645448140.732910
54,0,0,9,0000000000000000000000000000011111111111111111111111111111111111111111111111100000000000000000000000000000,1721645448140.739014
54,0,0,10,0000000000000000000000000000011111111111111111111111111111111111111111111111100000000000000000000000000000,1721645448140.739014
54,0,0,11,0000000000000000000000000000011111111111111111111111111111111111111111111111100000000000000000000000000000,1721645448140.739014
54,0,0,12,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.744873
54,0,0,13,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.744873
54,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.744873
54,0,1,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.744873
54,0,1,2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.751953
54,0,1,3,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.751953
54,0,1,4,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.751953
54,0,1,5,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.751953
54,0,1,6,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.758057
54,0,1,7,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.758057
54,0,1,8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.758057
54,0,1,9,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.758057
54,0,1,10,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.763916
54,0,1,11,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.763916
54,0,1,12,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.763916
54,0,1,13,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.770020
54,1,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.770020
54,1,0,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.770020
54,1,0,2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.770020
54,1,0,3,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448140.774902
54,1,0,4,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.547119
54,1,0,5,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.547119
54,1,0,6,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.547119
54,1,0,7,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.547119
54,1,0,8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.553955
54,1,0,9,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.553955
54,1,0,10,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.553955
54,1,0,11,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.553955
54,1,0,12,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.560059
54,1,0,13,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.560059
54,1,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.560059
54,1,1,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.565918
54,1,1,2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.565918
54,1,1,3,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.565918
54,1,1,4,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.571045
54,1,1,5,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.571045
54,1,1,6,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.571045
54,1,1,7,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.571045
54,1,1,8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.575928
54,1,1,9,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448141.575928
54,2,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448142.150879
54,2,1,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.225098
54,2,1,2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.225098
54,2,1,3,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.225098
54,2,1,4,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.225098
54,2,1,5,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.230957
54,2,1,6,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.230957
54,2,1,7,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.230957
54,2,1,8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.230957
54,2,1,9,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.237061
54,2,1,10,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.237061
54,2,1,11,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.237061
54,2,1,12,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.241943
54,2,1,13,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.241943
54,3,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.241943
54,3,0,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.241943
54,3,0,2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.247070
54,3,0,3,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.247803
54,3,0,4,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.247803
54,3,0,5,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.247803
54,3,0,6,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.253906
54,3,0,7,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.253906
54,3,0,8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645448143.253906
